date,station_number,rainfall,rain_period,rain_quality,max_temp,max_temp_days,min_temp,min_temp_days
24/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
24/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
24/01/2010 0:00,088051,NA,NA,Y,30.4,1,NA,NA
24/01/2010 0:00,088051,NA,NA,Y,NA,NA,8.2,1
25/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
25/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
25/01/2010 0:00,088051,NA,NA,Y,32.3,1,NA,NA
25/01/2010 0:00,088051,NA,NA,Y,NA,NA,10.6,1
26/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
26/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
26/01/2010 0:00,088051,NA,NA,Y,33.7,1,NA,NA
26/01/2010 0:00,088051,NA,NA,Y,NA,NA,10,1
27/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
27/01/2010 0:00,088061,0.6,1,Y,NA,NA,NA,NA
27/01/2010 0:00,088051,NA,NA,Y,27.6,1,NA,NA
27/01/2010 0:00,088051,NA,NA,Y,NA,NA,12.3,1
28/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
28/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
28/01/2010 0:00,088051,NA,NA,Y,32.9,1,NA,NA
28/01/2010 0:00,088051,NA,NA,Y,NA,NA,9.9,1
29/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
29/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
29/01/2010 0:00,088051,NA,NA,Y,25.4,1,NA,NA
29/01/2010 0:00,088051,NA,NA,Y,NA,NA,13.2,1
30/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
30/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
30/01/2010 0:00,088051,NA,NA,Y,34.8,1,NA,NA
30/01/2010 0:00,088051,NA,NA,Y,NA,NA,11,1
31/01/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
31/01/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
31/01/2010 0:00,088051,NA,NA,Y,35.2,1,NA,NA
31/01/2010 0:00,088051,NA,NA,Y,NA,NA,20.7,1
1/02/2010 0:00,088037,21.8,1,Y,NA,NA,NA,NA
1/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
1/02/2010 0:00,088051,NA,NA,Y,29.9,1,NA,NA
1/02/2010 0:00,088051,NA,NA,Y,NA,NA,15.1,1
2/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
2/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
2/02/2010 0:00,088051,NA,NA,Y,32.6,1,NA,NA
2/02/2010 0:00,088051,NA,NA,Y,NA,NA,17.9,1
3/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
3/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
3/02/2010 0:00,088051,NA,NA,Y,34.1,1,NA,NA
3/02/2010 0:00,088051,NA,NA,Y,NA,NA,16.9,1
4/02/2010 0:00,088037,NA,NA,NA,NA,NA,NA,NA
4/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
4/02/2010 0:00,088051,NA,NA,Y,24,1,NA,NA
4/02/2010 0:00,088051,NA,NA,Y,NA,NA,20.2,1
5/02/2010 0:00,088037,16.8,2,Y,NA,NA,NA,NA
5/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
5/02/2010 0:00,088051,NA,NA,Y,23.4,1,NA,NA
5/02/2010 0:00,088051,NA,NA,Y,NA,NA,17,1
6/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
6/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
6/02/2010 0:00,088051,NA,NA,Y,28.1,1,NA,NA
6/02/2010 0:00,088051,NA,NA,Y,NA,NA,12.4,1
7/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
7/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
7/02/2010 0:00,088051,NA,NA,Y,33.5,1,NA,NA
7/02/2010 0:00,088051,NA,NA,Y,NA,NA,13.4,1
8/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
8/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
8/02/2010 0:00,088051,NA,NA,Y,36,1,NA,NA
8/02/2010 0:00,088051,NA,NA,Y,NA,NA,17.4,1
9/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
9/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
9/02/2010 0:00,088051,NA,NA,Y,35.3,1,NA,NA
9/02/2010 0:00,088051,NA,NA,Y,NA,NA,19,1
10/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
10/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
10/02/2010 0:00,088051,NA,NA,Y,35.5,1,NA,NA
10/02/2010 0:00,088051,NA,NA,Y,NA,NA,20.8,1
11/02/2010 0:00,088037,20.2,1,Y,NA,NA,NA,NA
11/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
11/02/2010 0:00,088051,NA,NA,Y,29.1,1,NA,NA
11/02/2010 0:00,088051,NA,NA,Y,NA,NA,17.5,1
12/02/2010 0:00,088037,8.2,1,Y,NA,NA,NA,NA
12/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
12/02/2010 0:00,088051,NA,NA,Y,25.8,1,NA,NA
12/02/2010 0:00,088051,NA,NA,Y,NA,NA,18,1
13/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
13/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
13/02/2010 0:00,088051,NA,NA,Y,25.1,1,NA,NA
13/02/2010 0:00,088051,NA,NA,Y,NA,NA,14.8,1
14/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
14/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
14/02/2010 0:00,088051,NA,NA,Y,28.5,1,NA,NA
14/02/2010 0:00,088051,NA,NA,Y,NA,NA,14.2,1
15/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
15/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
15/02/2010 0:00,088051,NA,NA,Y,26.8,1,NA,NA
15/02/2010 0:00,088051,NA,NA,Y,NA,NA,16.7,1
16/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
16/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
16/02/2010 0:00,088051,NA,NA,Y,29,1,NA,NA
16/02/2010 0:00,088051,NA,NA,Y,NA,NA,13.6,1
17/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
17/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
17/02/2010 0:00,088051,NA,NA,Y,29.4,1,NA,NA
17/02/2010 0:00,088051,NA,NA,Y,NA,NA,10.7,1
18/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
18/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
18/02/2010 0:00,088051,NA,NA,Y,29.3,1,NA,NA
18/02/2010 0:00,088051,NA,NA,Y,NA,NA,15.1,1
19/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
19/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
19/02/2010 0:00,088051,NA,NA,Y,30.1,1,NA,NA
19/02/2010 0:00,088051,NA,NA,Y,NA,NA,13.2,1
20/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
20/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
20/02/2010 0:00,088051,NA,NA,Y,33,1,NA,NA
20/02/2010 0:00,088051,NA,NA,Y,NA,NA,13.3,1
21/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
21/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
21/02/2010 0:00,088051,NA,NA,Y,34.3,1,NA,NA
21/02/2010 0:00,088051,NA,NA,Y,NA,NA,20.2,1
22/02/2010 0:00,088037,0.8,1,Y,NA,NA,NA,NA
22/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
22/02/2010 0:00,088051,NA,NA,Y,27.6,1,NA,NA
22/02/2010 0:00,088051,NA,NA,Y,NA,NA,17.9,1
23/02/2010 0:00,088037,0.2,1,Y,NA,NA,NA,NA
23/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
23/02/2010 0:00,088051,NA,NA,Y,23.7,1,NA,NA
23/02/2010 0:00,088051,NA,NA,Y,NA,NA,7.8,1
24/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
24/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
24/02/2010 0:00,088051,NA,NA,Y,26.2,1,NA,NA
24/02/2010 0:00,088051,NA,NA,Y,NA,NA,9.8,1
25/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
25/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
25/02/2010 0:00,088051,NA,NA,Y,30.2,1,NA,NA
25/02/2010 0:00,088051,NA,NA,Y,NA,NA,11.9,1
26/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
26/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
26/02/2010 0:00,088051,NA,NA,Y,30.6,1,NA,NA
26/02/2010 0:00,088051,NA,NA,Y,NA,NA,12.8,1
27/02/2010 0:00,088037,0.4,1,Y,NA,NA,NA,NA
27/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
27/02/2010 0:00,088051,NA,NA,Y,28.2,1,NA,NA
27/02/2010 0:00,088051,NA,NA,Y,NA,NA,19,1
28/02/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
28/02/2010 0:00,088061,NA,NA,NA,NA,NA,NA,NA
